img_id,img_filename,y,split,place,place_filename
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,2,1,/o/ocean/00002178.jpg
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,0,1,/l/lake/natural/00000065.jpg
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,2,0,/b/bamboo_forest/00000131.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,0,1,/o/ocean/00001268.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,0,1,/o/ocean/00003147.jpg
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,2,1,/l/lake/natural/00002698.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,0,1,/o/ocean/00003917.jpg
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,1,/o/ocean/00001505.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,0,1,/l/lake/natural/00000560.jpg
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,2,1,/o/ocean/00002073.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,0,1,/o/ocean/00001721.jpg
12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,1,2,0,/b/bamboo_forest/00004105.jpg
13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,1,2,0,/b/bamboo_forest/00003253.jpg
14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,1,2,0,/b/bamboo_forest/00000537.jpg
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,0,1,/o/ocean/00002053.jpg
16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,1,2,0,/b/bamboo_forest/00004439.jpg
17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,1,2,1,/o/ocean/00004537.jpg
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,0,1,/o/ocean/00003211.jpg
